Order ID,Order Date,Ship Date,Region,Category,Sub-Category,Sales,Profit,Quantity
CA-2016-152156,2016-08-11,2016-11-11,South,Furniture,Bookcases,261.96,41.9136,2
CA-2016-152156,2016-08-11,2016-11-11,South,Furniture,Chairs,731.94,219.582,3
CA-2016-138688,2016-12-06,2016-06-16,West,Office Supplies,Labels,14.62,6.8714,2
US-2015-108966,2015-11-10,2015-10-18,South,Furniture,Tables,957.5775,-383.031,5
US-2015-108966,2015-11-10,2015-10-18,South,Office Supplies,Storage,22.368,2.5164,2
CA-2014-115812,2014-09-06,2014-06-14,West,Furniture,Furnishings,48.86,14.1694,7
CA-2014-115812,2014-09-06,2014-06-14,West,Office Supplies,Art,7.28,1.9656,4
CA-2014-115812,2014-09-06,2014-06-14,West,Technology,Phones,907.152,90.7152,6
CA-2014-115812,2014-09-06,2014-06-14,West,Office Supplies,Binders,18.504,5.7825,3
CA-2014-115812,2014-09-06,2014-06-14,West,Office Supplies,Appliances,114.9,34.47,5
CA-2014-115812,2014-09-06,2014-06-14,West,Furniture,Tables,1706.184,85.3092,9
CA-2014-115812,2014-09-06,2014-06-14,West,Technology,Phones,911.424,68.3568,4
CA-2017-114412,2017-04-15,2017-04-20,South,Office Supplies,Paper,15.552,5.4432,3
CA-2016-161389,2016-05-12,2016-10-12,West,Office Supplies,Binders,407.976,132.5922,3
US-2015-118983,2015-11-22,2015-11-26,Central,Office Supplies,Appliances,68.81,-123.858,5
US-2015-118983,2015-11-22,2015-11-26,Central,Office Supplies,Binders,2.544,-3.816,3
CA-2014-105893,2014-11-11,2014-11-18,Central,Office Supplies,Storage,665.88,13.3176,6
CA-2014-167164,2014-05-13,2014-05-15,West,Office Supplies,Storage,55.5,9.99,2
CA-2014-143336,2014-08-27,2014-01-09,West,Office Supplies,Art,8.56,2.4824,2
CA-2014-143336,2014-08-27,2014-01-09,West,Technology,Phones,213.48,16.011,3
CA-2014-143336,2014-08-27,2014-01-09,West,Office Supplies,Binders,22.72,7.384,4
CA-2016-137330,2016-09-12,2016-12-13,Central,Office Supplies,Art,19.46,5.0596,7
CA-2016-137330,2016-09-12,2016-12-13,Central,Office Supplies,Appliances,60.34,15.6884,7
US-2017-156909,2017-07-16,2017-07-18,East,Furniture,Chairs,71.372,-1.0196,2
CA-2015-106320,2015-09-25,2015-09-30,West,Furniture,Tables,1044.63,240.2649,3
CA-2016-121755,2016-01-16,2016-01-20,West,Office Supplies,Binders,11.648,4.2224,2
CA-2016-121755,2016-01-16,2016-01-20,West,Technology,Accessories,90.57,11.7741,3
US-2015-150630,2015-09-17,2015-09-21,East,Furniture,Bookcases,3083.43,-1665.0522,7
US-2015-150630,2015-09-17,2015-09-21,East,Office Supplies,Binders,9.618,-7.0532,2
US-2015-150630,2015-09-17,2015-09-21,East,Furniture,Furnishings,124.2,15.525,3
US-2015-150630,2015-09-17,2015-09-21,East,Office Supplies,Envelopes,3.264,1.1016,2
US-2015-150630,2015-09-17,2015-09-21,East,Office Supplies,Art,86.304,9.7092,6
US-2015-150630,2015-09-17,2015-09-21,East,Office Supplies,Binders,6.858,-5.715,6
US-2015-150630,2015-09-17,2015-09-21,East,Office Supplies,Art,15.76,3.546,2
CA-2017-107727,2017-10-19,2017-10-23,Central,Office Supplies,Paper,29.472,9.9468,3
CA-2016-117590,2016-08-12,2016-10-12,Central,Technology,Phones,1097.544,123.4737,7
CA-2016-117590,2016-08-12,2016-10-12,Central,Furniture,Furnishings,190.92,-147.963,5
CA-2015-117415,2015-12-27,2015-12-31,Central,Office Supplies,Envelopes,113.328,35.415,9
CA-2015-117415,2015-12-27,2015-12-31,Central,Furniture,Bookcases,532.3992,-46.9764,3
CA-2015-117415,2015-12-27,2015-12-31,Central,Furniture,Chairs,212.058,-15.147,3
CA-2015-117415,2015-12-27,2015-12-31,Central,Technology,Phones,371.168,41.7564,4
CA-2017-120999,2017-10-09,2017-09-15,Central,Technology,Phones,147.168,16.5564,4
CA-2016-101343,2016-07-17,2016-07-22,West,Office Supplies,Storage,77.88,3.894,2
CA-2017-139619,2017-09-19,2017-09-23,South,Office Supplies,Storage,95.616,9.5616,2
CA-2016-118255,2016-11-03,2016-03-13,Central,Technology,Accessories,45.98,19.7714,2
CA-2016-118255,2016-11-03,2016-03-13,Central,Office Supplies,Binders,17.46,8.2062,2
CA-2014-146703,2014-10-20,2014-10-25,Central,Office Supplies,Storage,211.96,8.4784,4
CA-2016-169194,2016-06-20,2016-06-25,East,Technology,Accessories,45,4.95,3
CA-2016-169194,2016-06-20,2016-06-25,East,Technology,Phones,21.8,6.104,2
CA-2015-115742,2015-04-18,2015-04-22,Central,Office Supplies,Binders,38.22,17.9634,6
CA-2015-115742,2015-04-18,2015-04-22,Central,Office Supplies,Labels,75.18,35.3346,6
CA-2015-115742,2015-04-18,2015-04-22,Central,Furniture,Furnishings,6.16,2.9568,2
CA-2015-115742,2015-04-18,2015-04-22,Central,Furniture,Chairs,89.99,17.0981,1
CA-2016-105816,2016-11-12,2016-12-17,East,Office Supplies,Fasteners,15.26,6.2566,7
CA-2016-105816,2016-11-12,2016-12-17,East,Technology,Phones,1029.95,298.6855,5
CA-2016-111682,2016-06-17,2016-06-18,East,Office Supplies,Storage,208.56,52.14,6
CA-2016-111682,2016-06-17,2016-06-18,East,Office Supplies,Paper,32.4,15.552,5
CA-2016-111682,2016-06-17,2016-06-18,East,Furniture,Chairs,319.41,7.098,5
CA-2016-111682,2016-06-17,2016-06-18,East,Office Supplies,Paper,14.56,6.9888,2
CA-2016-111682,2016-06-17,2016-06-18,East,Technology,Accessories,30,3.3,2
CA-2016-111682,2016-06-17,2016-06-18,East,Office Supplies,Binders,48.48,16.362,4
CA-2016-111682,2016-06-17,2016-06-18,East,Office Supplies,Art,1.68,0.84,1
CA-2015-135545,2015-11-24,2015-11-30,West,Technology,Accessories,13.98,6.1512,2
CA-2015-135545,2015-11-24,2015-11-30,West,Office Supplies,Binders,25.824,9.3612,6
CA-2015-135545,2015-11-24,2015-11-30,West,Office Supplies,Paper,146.73,68.9631,3
CA-2015-135545,2015-11-24,2015-11-30,West,Furniture,Furnishings,79.76,22.3328,4
US-2015-164175,2015-04-30,2015-05-05,Central,Furniture,Chairs,213.115,-15.2225,5
CA-2014-106376,2014-05-12,2014-10-12,West,Office Supplies,Art,1113.024,111.3024,8
CA-2014-106376,2014-05-12,2014-10-12,West,Technology,Phones,167.968,62.988,4
CA-2016-119823,2016-04-06,2016-06-06,South,Office Supplies,Paper,75.88,35.6636,2
CA-2016-106075,2016-09-18,2016-09-23,East,Office Supplies,Binders,4.616,1.731,1
CA-2017-114440,2017-09-14,2017-09-17,Central,Office Supplies,Paper,19.05,8.763,3
US-2015-134026,2015-04-26,2015-02-05,South,Furniture,Chairs,831.936,-114.3912,8
US-2015-134026,2015-04-26,2015-02-05,South,Furniture,Furnishings,97.04,1.213,2
US-2015-134026,2015-04-26,2015-02-05,South,Office Supplies,Storage,72.784,-18.196,1
US-2017-118038,2017-09-12,2017-11-12,Central,Office Supplies,Binders,1.248,-1.9344,3
US-2017-118038,2017-09-12,2017-11-12,Central,Furniture,Furnishings,9.708,-5.8248,3
